episode,step,action,reward,balance,shares_held,current_price,portfolio_value,current_position
10,1,1,-0.0009864005859375538,126.13013476562446,32,308.25018310546875,9990.135994140624,1
10,2,1,-0.03274675454286864,126.13013476562446,32,298.02691650390625,9662.991462890624,1
10,3,0,-0.030863548236622802,9364.757259765625,0,288.99609375,9364.757259765625,0
10,4,2,-0.000983886516527656,18569.401799804687,-32,287.9330749511719,9355.543401367187,-1
10,5,1,0.04226215728185406,125.87651040649507,35,275.0014953613281,9750.92884805298,1
10,6,1,-0.00414706899089696,125.87651040649507,35,273.84613037109375,9710.491073394776,1
10,7,2,0.04068532401934323,20105.253964630127,-35,285.70538330078125,10105.565549102783,-1
10,8,1,0.026354859407249243,103.47040505981568,37,277.5250244140625,10371.896308380128,1
10,9,0,0.040581867821870336,10792.807233428955,0,289.190185546875,10792.807233428955,0
10,10,1,-0.0009843523054605548,158.2586261291508,38,279.57696533203125,10782.183308746338,1
10,11,0,-0.01725734871590373,10596.111411468506,0,274.9552917480469,10596.111411468506,0
10,12,2,-0.000980812456722514,20978.516678588865,-41,253.48287963867188,10585.718613403318,-1
10,13,1,-0.05276584540982427,162.98335357665746,37,266.5992126464844,10027.15422149658,1
10,14,2,-0.04982747078305317,18910.83624090576,-37,253.60296630859375,9527.52648748779,-1
10,15,0,0.09333820006525348,10416.808660903927,0,229.33897399902344,10416.808660903927,0
10,16,1,-0.00097983130949736,199.8866746368367,41,248.94427490234375,10406.60194563293,1
10,17,0,-0.10819544945946671,9280.654970779415,0,221.703857421875,9280.654970779415,0
10,18,0,0.0,9280.654970779415,0,233.67410278320312,9280.654970779415,0
10,19,2,-0.0009800539378513001,18367.101878280635,-41,221.84249877929688,9271.559428329463,-1
10,20,1,-0.004050879840158109,119.13077339172014,41,222.3139190673828,9234.001455154415,1
10,21,2,-0.04442743365949448,17545.830306472773,-41,212.73345947265625,8823.758468093867,-1
10,22,0,0.02431026173586232,9038.26634594726,0,207.2942657470703,9038.26634594726,0
10,23,0,0.0,9038.26634594726,0,226.0758056640625,9038.26634594726,0
10,24,0,0.0,9038.26634594726,0,229.460205078125,9038.26634594726,0
10,25,0,0.0,9038.26634594726,0,242.8583526611328,9038.26634594726,0
10,26,1,-0.0009906475137235668,75.57652587890152,38,235.6246337890625,9029.312609863277,1
10,27,1,0.032203785406284643,75.57652587890152,38,243.2766876220703,9320.090655517573,1
10,28,1,-0.014784502941853808,75.57652587890152,38,239.6505584716797,9182.29774780273,1
10,29,1,-0.044634465751644474,75.57652587890152,38,228.8651123046875,8772.450793457027,1
10,30,2,0.02084816289077085,17852.899144958494,-38,234.1462860107422,8955.34027655029,-1
10,31,0,0.0133817613114601,9075.178502593992,0,230.7618865966797,9075.178502593992,0
10,32,0,0.0,9075.178502593992,0,246.2613525390625,9075.178502593992,0
10,33,0,0.0,9075.178502593992,0,246.51239013671875,9075.178502593992,0
10,34,2,-0.0009826317398179429,17983.81938531494,-35,254.78738403320312,9066.26094415283,-1
10,35,1,-0.016936157133622832,118.11963522338556,34,258.6645202636719,8912.71332418823,1
10,36,1,-0.009008751489368338,118.11963522338556,34,256.302978515625,8832.420904754636,1
10,37,1,0.02909857524107115,118.11963522338556,34,263.86212158203125,9089.431769012448,1
10,38,0,-0.021938458989092396,8890.023642913815,0,258.25543212890625,8890.023642913815,0
10,39,1,-0.000992465821362884,58.15598159789624,34,259.5013122558594,8881.200598297115,1
10,40,0,0.02581854511063029,9110.500276580806,0,266.5119323730469,9110.500276580806,0
10,41,1,-0.0009770879334230456,199.83862899779888,34,261.81646728515625,9101.598516693111,1
10,42,2,-0.03159328044450235,17445.52264248657,-34,253.8668670654297,8814.04916226196,-1
10,43,1,-0.023707347275803814,41.54813342284797,33,259.5013122558594,8605.091437866207,1
10,44,2,-0.0020610067443580316,17150.29030737304,-33,259.48284912109375,8587.356286376948,-1
10,45,0,-0.014909872061388399,8459.319902801508,0,263.0996398925781,8459.319902801508,0
10,46,2,-0.0009780556947490359,16724.73222143554,-31,266.8930969238281,8451.046216796869,-1
10,47,2,0.0045018327384822995,16724.73222143554,-31,265.66583251953125,8489.091413330072,-1
10,48,0,-0.026392489171754272,8265.043160125726,0,272.6205749511719,8265.043160125726,0
10,49,2,-0.0009803300401217113,16359.41078280639,-30,270.08233642578125,8256.940690032952,-1
10,50,2,0.02597823340075596,16359.41078280639,-30,262.93231201171875,8471.441422454827,-1
10,51,1,-0.004466520461888001,260.2219642028731,31,263.657470703125,8433.603555999747,1
10,52,1,0.008954308717775382,260.2219642028731,31,266.093505859375,8509.120645843497,1
10,53,0,-0.007534036168166479,8445.01262313842,0,264.289794921875,8445.01262313842,0
10,54,2,-0.000981863101097051,16728.567059814446,-31,267.4789123535156,8436.720776855462,-1
10,55,1,-0.018227877076209813,125.79829055785376,30,271.9046325683594,8282.937267608635,1
10,56,2,-0.0017680871363417161,16427.103958282463,-30,271.96038818359375,8268.29231277465,-1
10,57,2,0.019667307966155026,16427.103958282463,-30,266.5398864746094,8430.907364044182,-1
10,58,2,0.016774174200061984,16427.103958282463,-30,261.8258361816406,8572.328872833245,-1
10,59,1,-0.01285082880351825,248.43409619139857,31,264.9591369628906,8462.167342041008,1
10,60,2,0.0025121689207460293,16734.920364746085,-31,266.17724609375,8483.425735839835,-1
10,61,0,-0.030628969106206067,8223.587151062004,0,274.28485107421875,8223.587151062004,0
10,62,2,-0.0009903255691085487,16359.471747924796,-30,271.4676208496094,8215.443122436514,-1
10,63,1,-0.01882302723899926,54.50347238158338,29,276.0793151855469,8060.803612762443,1
10,64,1,-0.006857153774886783,54.50347238158338,29,274.1733093261719,8005.529442840568,1
10,65,1,0.0018863114224586725,54.50347238158338,29,274.69403076171875,8020.630364471427,1
10,66,1,0.012236450068001338,54.50347238158338,29,278.07830810546875,8118.774407440177,1
10,67,1,0.014779387012310968,54.50347238158338,29,282.2159118652344,8238.764916473381,1
10,68,1,-0.0018329108530169536,54.50347238158338,29,281.6951904296875,8223.663994842522,1
10,69,2,0.0024307084682021005,16449.214298675528,-29,282.95037841796875,8243.653324554434,-1
10,70,2,-0.004023399539077635,16449.214298675528,-29,284.0940856933594,8210.485813568106,-1
10,71,2,-0.008308682860297152,16449.214298675528,-29,286.4464416503906,8142.2674908142,-1
10,72,0,-0.01461100621177626,8023.30076992797,0,290.25848388671875,8023.30076992797,0
10,73,2,-0.000974211625294967,15831.877260345449,-27,289.49603271484375,8015.484377044668,-1
